Date,Year,Month,Decade,Season,Monthly_Anomaly,Monthly_Unc,Is_Positive_Anomaly,Is_Cold_Month,Is_Hot_Month,Above_1C,Above_1_5C,Above_2C
1861-09-01,1861,9,1860,Autumn,-0.412,0.219,False,False,False,False,False,False
1861-10-01,1861,10,1860,Autumn,-0.475,0.212,False,False,False,False,False,False
1861-11-01,1861,11,1860,Autumn,-0.216,0.263,False,False,False,False,False,False
1861-12-01,1861,12,1860,Winter,-0.351,0.264,False,False,False,False,False,False
1862-01-01,1862,1,1860,Winter,-0.918,0.348,False,True,False,False,False,False
1862-02-01,1862,2,1860,Winter,-0.766,0.33,False,True,False,False,False,False
1862-03-01,1862,3,1860,Spring,-0.545,0.261,False,True,False,False,False,False
1862-04-01,1862,4,1860,Spring,-0.568,0.247,False,True,False,False,False,False
1862-05-01,1862,5,1860,Spring,-0.294,0.225,False,False,False,False,False,False
1862-06-01,1862,6,1860,Summer,-0.315,0.217,False,False,False,False,False,False
1862-07-01,1862,7,1860,Summer,-0.33,0.207,False,False,False,False,False,False
1862-08-01,1862,8,1860,Summer,-0.491,0.209,False,False,False,False,False,False
1862-09-01,1862,9,1860,Autumn,-0.543,0.223,False,True,False,False,False,False
1862-10-01,1862,10,1860,Autumn,-0.46,0.251,False,False,False,False,False,False
1862-11-01,1862,11,1860,Autumn,-0.556,0.285,False,True,False,False,False,False
1862-12-01,1862,12,1860,Winter,-0.862,0.302,False,True,False,False,False,False
1863-01-01,1863,1,1860,Winter,-0.117,0.38,False,False,False,False,False,False
1863-02-01,1863,2,1860,Winter,-0.133,0.47,False,False,False,False,False,False
1863-03-01,1863,3,1860,Spring,-0.334,0.239,False,False,False,False,False,False
1863-04-01,1863,4,1860,Spring,-0.26,0.29,False,False,False,False,False,False
1863-05-01,1863,5,1860,Spring,-0.223,0.213,False,False,False,False,False,False
1863-06-01,1863,6,1860,Summer,-0.339,0.22,False,False,False,False,False,False
1863-07-01,1863,7,1860,Summer,-0.357,0.221,False,False,False,False,False,False
1863-08-01,1863,8,1860,Summer,-0.373,0.238,False,False,False,False,False,False
1863-09-01,1863,9,1860,Autumn,-0.498,0.248,False,False,False,False,False,False
1863-10-01,1863,10,1860,Autumn,-0.452,0.249,False,False,False,False,False,False
1863-11-01,1863,11,1860,Autumn,-0.374,0.278,False,False,False,False,False,False
1863-12-01,1863,12,1860,Winter,-0.293,0.294,False,False,False,False,False,False
1864-01-01,1864,1,1860,Winter,-0.491,0.431,False,False,False,False,False,False
1864-02-01,1864,2,1860,Winter,-0.403,0.366,False,False,False,False,False,False
